cat_order,category_slug,category_name,category_active,sub_order,subcategory_slug,subcategory_name,subcategory_active,age_restricted,keywords,category_id,subcategory_id
5,cultura,Cultura e historia,true,4,iglesia-templo,Iglesia / templo,true,false,"[""iglesia"",""templo"",""catedral"",""capilla"",""santuario"",""mezquita""]",,
5,cultura,Cultura e historia,true,5,plaza-principal,Plaza principal / Plaza de Bolívar,true,false,"[""plaza"",""plaza de bolivar"",""bolívar"",""parque principal"",""plaza mayor"",""centro plaza"",""square""]",,
5,cultura,Cultura e historia,true,6,galeria-arte,Galería de arte,true,false,"[""galeria"",""arte"",""exposicion"",""pintura"",""fotografia""]",,
6,entretenimiento,Planes y entretenimiento,true,1,cine-teatro-conciertos,Cine / teatro / conciertos,true,false,"[""cine"",""teatro"",""pelicula"",""obra"",""show"",""cinema"",""concierto"",""musica"",""banda"",""live""]",,
6,entretenimiento,Planes y entretenimiento,true,2,parque-tematico-acuatico,Parque temático / acuático,true,false,"[""tematico"",""atracciones"",""juegos mecanicos"",""theme park"",""acuatico"",""toboganes"",""water park""]",,
6,entretenimiento,Planes y entretenimiento,true,3,vida-nocturna-juegos,Discoteca / karaoke / juegos,true,true,"[""discoteca"",""disco"",""club"",""bailar"",""dj"",""karaoke"",""cantar"",""bolos"",""bowling"",""bolera"",""billar"",""pool"",""escape room""]",,
6,entretenimiento,Planes y entretenimiento,true,4,spa-bienestar,Spa / bienestar,true,false,"[""spa"",""masaje"",""relajar"",""wellness"",""sauna"",""cuidado""]",,
6,entretenimiento,Planes y entretenimiento,true,5,actividad-familiar,Actividad familiar / niños,true,false,"[""familiar"",""ninos"",""niños"",""kids"",""familia"",""infantil""]",,
6,entretenimiento,Planes y entretenimiento,true,6,festival-feria,Festival / feria / evento,true,false,"[""festival"",""festejo"",""carnaval"",""feria"",""exposicion"",""stand"",""evento cultural"",""evento deportivo"",""torneo"",""procesion"",""procesión"",""religioso""]",,
7,compras,Compras,true,1,centro-comercial,Centro comercial,true,false,"[""mall"",""cc"",""centro comercial"",""shopping center""]",,
7,compras,Compras,true,2,mercado-artesanal-plaza,Mercado artesanal / plaza de mercado,true,false,"[""artesanal"",""artesania"",""artesanías"",""hecho a mano"",""plaza de mercado"",""galeria"",""frutas"",""verduras"",""mercado""]",,
7,compras,Compras,true,3,tienda-souvenir,Tienda de souvenir / artesanías,true,false,"[""souvenir"",""regalo"",""artesania"",""feria"",""pulgas"",""vintage"",""anticuario""]",,
7,compras,Compras,true,4,tienda-general,Tienda,true,false,"[""tienda"",""almacen"",""almacén"",""ropa"",""calzado"",""shop"",""store""]",,
8,otros,Otros,true,1,terminal-transporte,Terminal / transporte,true,false,"[""terminal"",""bus"",""aeropuerto"",""transporte"",""estacion"",""estación""]",,
8,otros,Otros,true,2,otro,Otro,true,false,"[""otro"",""otros"",""varios""]",,
